StudyHours,ExtraParticipation,PapersPracticed,PreviousMarks,SleepingHours,PerformancePapersPracticedIndex
5,No,6,94,5,8
5,Yes,4,92,5,79
4,Yes,3,,9,34
8,No,7,80,8,77
4,Yes,8,48,7,29
7,No,8,87,7,79
3,Yes,5,44,9,24
4,Yes,2,84,9,67
,Yes,9,70,8,45
2,Yes,9,67,7,44
5,No,7,99,4,82
6,No,5,42,9,3
5,Yes,0,59,9,45
9,No,5,74,8,74
4,No,5,6,8,44
9,Yes,7,54,6,5
4,No,,97,4,8
,Yes,0,95,6,67
3,No,3,52,4,3
,Yes,7,5,8,26
,No,4,72,6,5
8,No,6,57,6,
8,Yes,5,95,9,94
9,Yes,3,42,6,38
,No,0,67,8,42
4,No,5,72,6,56
9,No,5,4,8,37
4,Yes,0,72,7,54
6,Yes,4,55,4,42
,Yes,4,58,8,35
4,No,,60,8,40
7,Yes,4,54,6,45
,Yes,5,75,9,
5,Yes,8,68,4,52
8,No,3,55,6,47
6,Yes,2,77,4,66
4,No,8,82,9,67
4,No,3,87,7,70
3,No,0,92,8,74
9,Yes,9,83,6,85
3,Yes,6,73,9,52
4,No,4,86,8,7
9,Yes,7,56,5,
9,Yes,9,63,5,60
8,No,8,52,8,48
4,Yes,6,88,7,72
9,No,7,79,7,78
9,Yes,2,58,5,56
,No,3,5,7,23
6,No,2,46,6,27
3,Yes,3,76,4,54
8,Yes,,96,4,85
9,Yes,4,77,8,77
4,No,6,73,8,56
5,Yes,2,70,8,55
6,Yes,9,66,4,56
6,No,8,47,9,36
3,Yes,8,8,4,63
8,Yes,7,56,6,52
9,No,4,46,4,40
7,No,8,62,8,52
7,Yes,3,84,7,79
9,Yes,0,72,8,69
4,Yes,2,89,5,72
9,No,8,78,4,72
4,No,6,79,7,66
6,Yes,6,68,7,62
7,Yes,2,43,9,37
9,Yes,8,87,8,84
7,Yes,9,9,4,83
9,Yes,9,46,7,45
3,No,6,7,6,52
3,No,2,96,9,77
4,Yes,5,74,5,60
4,No,2,86,4,62
7,No,9,44,9,37
7,Yes,5,8,4,72
7,No,6,70,9,64
,No,4,75,8,49
6,No,0,85,4,66
8,No,,55,6,48
9,Yes,8,4,6,40
,Yes,3,85,6,60
5,No,7,7,4,58
7,No,3,47,5,36
8,Yes,2,72,7,67
2,Yes,7,7,4,
9,No,5,58,6,54
5,Yes,5,94,4,79
6,Yes,3,45,8,34
7,No,8,56,9,47
,Yes,4,86,5,62
4,Yes,4,64,8,47
6,Yes,6,78,5,66
3,Yes,6,4,5,20
2,Yes,4,65,9,40
2,No,2,88,5,59
6,Yes,0,48,4,36
6,Yes,3,57,7,43
7,Yes,3,4,7,34
7,No,0,43,8,33
,No,2,49,7,23
6,No,,64,7,53
5,Yes,,75,8,62
9,No,5,70,6,66
7,Yes,8,76,6,67
,Yes,3,99,9,75
8,No,3,54,5,46
8,Yes,7,45,4,39
9,No,9,76,5,7
7,Yes,2,57,6,48
5,No,2,92,7,77
,No,9,7,8,46
5,Yes,,62,6,45
6,Yes,6,98,8,90
8,No,7,48,7,40
8,No,2,93,7,89
2,Yes,4,44,6,20
9,No,9,49,8,48
7,No,9,98,7,95
9,No,,44,5,37
9,No,3,80,7,8
3,Yes,6,63,8,43
9,No,8,80,7,78
5,Yes,5,54,8,4
9,Yes,8,45,8,46
2,No,2,4,8,6
6,Yes,0,75,4,62
7,Yes,7,73,8,65
7,Yes,,40,7,33
5,No,0,58,9,42
7,Yes,9,42,8,33
9,Yes,2,47,7,47
,No,,96,7,70
6,Yes,9,52,9,42
4,No,8,89,4,75
3,Yes,7,47,4,27
7,No,7,47,8,36
3,Yes,3,85,4,65
2,Yes,7,60,8,37
5,Yes,2,89,8,75
4,No,9,77,4,59
5,Yes,0,43,7,27
5,Yes,3,69,9,57
4,Yes,2,94,4,73
9,No,6,92,7,89
5,Yes,8,43,6,32
4,No,9,56,6,40
,Yes,8,87,7,66
2,No,3,88,4,66
6,No,9,64,4,49
,Yes,3,44,8,20
6,No,9,94,4,8
3,Yes,8,60,8,43
8,Yes,3,99,4,89
4,Yes,4,82,8,62
7,No,0,69,7,60
6,No,2,75,4,60
,Yes,4,88,7,65
5,No,3,54,5,35
6,No,5,75,6,62
,Yes,9,5,5,28
,Yes,4,60,7,33
8,No,9,60,5,53
5,Yes,5,48,5,32
6,Yes,8,82,9,70
8,No,3,65,5,58
6,No,5,42,9,29
,No,3,99,7,73
6,No,4,67,5,56
4,Yes,5,99,8,87
8,Yes,5,78,5,72
6,No,9,90,7,77
8,Yes,8,53,9,49
3,No,6,96,4,74
5,No,6,45,5,29
8,No,6,40,8,34
,Yes,7,67,8,45
,No,6,,4,22
9,Yes,7,75,4,73
2,No,0,90,6,68
5,Yes,6,98,4,87
6,Yes,2,74,4,63
6,Yes,7,84,7,72
6,Yes,3,62,5,52
9,No,8,47,8,45
2,No,,84,4,56
8,Yes,8,92,8,89
8,No,,69,7,60
5,No,0,83,5,68
4,Yes,0,73,8,59
7,No,8,60,8,57
4,No,5,8,7,67
3,No,2,43,6,20
8,Yes,5,92,4,84
8,Yes,8,42,9,38
5,Yes,5,74,6,6
8,Yes,8,49,9,44
4,Yes,8,64,9,49
2,Yes,2,73,8,
2,No,7,97,6,74
4,No,5,85,7,66
4,No,,86,6,70
2,Yes,9,46,9,28
,No,,94,5,66
4,Yes,3,70,4,5
6,Yes,4,95,8,84
5,Yes,7,86,4,72
8,Yes,,75,6,7
8,No,6,75,6,69
8,No,7,97,9,94
3,Yes,6,68,9,49
5,No,2,4,7,25
2,No,6,80,8,58
7,No,,59,9,47
3,Yes,5,79,9,6
3,Yes,9,79,8,60
,No,2,64,7,35
5,Yes,2,46,7,32
6,Yes,7,84,7,79
5,No,7,72,5,57
5,Yes,3,53,7,42
7,No,7,48,7,38
5,No,5,56,8,40
2,Yes,7,87,6,63
6,No,4,6,7,49
9,No,9,73,6,7
8,No,3,87,5,79
,Yes,8,55,7,3
6,Yes,,57,9,46
4,No,6,47,4,24
7,No,7,79,4,69
2,Yes,3,92,5,68
,Yes,0,90,5,67
6,Yes,2,60,6,
7,Yes,7,74,5,68
9,Yes,9,87,9,85
,No,4,59,6,32
3,Yes,9,82,5,63
4,Yes,9,44,8,30
,No,0,60,7,36
6,Yes,5,72,6,60
6,Yes,,54,8,42
9,Yes,2,58,5,54
5,Yes,2,78,9,64
3,No,0,62,7,40
2,Yes,4,68,5,47
3,No,0,7,9,52
2,Yes,8,40,4,6
3,No,9,80,4,58
7,Yes,,67,4,57
6,Yes,7,88,6,78
5,Yes,2,58,7,43
7,No,5,78,8,70
5,No,8,54,8,40
8,Yes,0,57,6,49
3,No,8,72,4,
4,No,7,,5,37
6,Yes,2,70,5,56
,No,8,48,6,25
3,Yes,9,4,8,24
7,No,5,69,8,62
6,Yes,4,66,4,5
5,Yes,7,4,6,27
7,No,,69,8,6
8,No,,58,8,52
6,Yes,,65,4,56
7,No,8,79,8,70
7,No,3,77,5,66
3,Yes,4,75,9,60
,Yes,,85,9,58
8,No,3,45,7,38
8,No,2,76,7,69
5,No,2,88,5,7
4,Yes,8,55,7,39
2,No,,65,5,40
5,No,8,76,8,62
5,No,2,94,7,83
4,Yes,0,92,4,74
6,No,8,89,9,79
,No,,99,8,75
7,No,6,95,9,87
8,Yes,6,89,4,84
,Yes,2,66,4,38
9,No,8,63,4,59
3,No,2,45,5,24
9,No,5,67,4,60
5,Yes,8,40,7,26
5,Yes,,54,5,36
,No,2,58,5,33
9,No,,7,7,67
3,Yes,3,83,6,63
,Yes,8,92,6,68
3,No,0,73,8,54
2,No,2,66,4,42
,Yes,4,75,8,5
3,Yes,9,68,8,49
3,Yes,9,67,5,49
2,No,8,88,8,67
6,Yes,2,55,7,46
3,No,2,69,6,48
3,Yes,9,67,9,
,Yes,9,92,4,66
,Yes,7,79,7,56
2,No,0,57,6,3
5,No,6,70,5,56
9,No,2,89,7,86
,No,,42,9,5
5,No,4,53,4,36
6,No,4,94,6,83
2,No,2,56,6,3
5,No,8,8,8,70
4,No,3,72,5,56
8,Yes,2,62,4,52
5,No,5,49,5,33
7,Yes,9,88,4,82
3,Yes,,94,7,74
9,Yes,9,54,5,49
4,Yes,6,56,8,43
3,Yes,6,72,8,54
7,Yes,5,55,7,
7,Yes,9,57,9,48
6,No,4,52,4,35
3,No,8,67,9,46
2,No,8,7,8,52
4,Yes,4,88,5,69
,No,6,78,4,52
7,No,,77,7,68
5,Yes,3,47,8,35
,No,8,40,4,2
7,No,2,78,6,72
8,No,3,56,9,
5,No,6,52,5,33
6,Yes,5,78,6,7
4,No,2,76,7,58
6,No,2,92,9,82
,No,5,85,5,6
5,No,5,7,5,54
,No,6,59,9,34
,No,5,70,6,44
,No,3,87,9,65
,Yes,3,82,8,6
5,Yes,7,8,5,67
8,No,5,53,7,45
7,Yes,7,93,5,85
6,Yes,5,68,4,54
4,Yes,7,97,8,8
4,No,3,90,8,69
2,Yes,0,83,6,62
8,Yes,3,90,7,85
9,No,9,67,7,65
9,No,,99,4,95
3,No,0,,7,3
3,Yes,6,80,9,64
5,Yes,5,60,8,47
5,Yes,7,53,7,40
4,No,6,79,6,6
8,Yes,5,54,9,46
9,No,2,8,4,76
2,Yes,6,59,7,38
8,No,3,82,7,76
4,No,,52,4,35
3,Yes,8,82,4,65
2,Yes,5,85,8,62
5,No,6,43,7,29
9,Yes,7,54,5,
,No,6,86,4,59
5,Yes,3,98,6,84
9,Yes,3,78,8,75
7,Yes,2,43,7,34
3,Yes,4,7,7,
3,Yes,2,93,6,74
6,Yes,6,73,5,6
9,Yes,3,44,7,39
5,Yes,5,68,4,53
4,Yes,8,73,7,6
9,Yes,2,95,5,94
5,No,5,,5,36
5,Yes,8,47,5,3
5,Yes,9,76,4,62
2,No,7,8,4,56
7,Yes,5,60,5,53
,No,4,97,5,72
5,Yes,0,94,4,78
2,No,5,52,5,26
,No,8,97,9,70
3,Yes,9,63,9,47
,No,9,65,4,40
3,No,6,5,7,34
,No,,87,6,63
2,No,3,42,7,5
7,Yes,5,47,8,42
9,Yes,9,44,8,44
2,Yes,8,43,6,2
9,Yes,8,83,4,80
8,Yes,5,69,4,63
4,No,4,49,8,33
5,Yes,8,83,6,67
6,No,4,74,5,64
9,Yes,9,90,4,88
3,No,6,70,9,5
3,No,,98,8,80
9,Yes,8,47,9,45
7,No,4,97,4,85
8,No,7,57,6,52
2,Yes,4,65,5,39
8,Yes,6,95,9,93
8,No,6,8,9,74
4,No,6,78,8,65
6,No,2,75,9,66
5,No,9,69,9,57
6,No,8,45,8,35
,No,7,40,9,6
4,No,5,80,5,67
5,No,3,97,6,8
,Yes,6,87,8,62
9,Yes,7,78,6,74
6,No,,97,9,86
,No,3,80,6,55
4,Yes,3,73,4,59
7,No,9,4,4,3
9,No,9,70,5,67
4,No,9,5,5,36
4,Yes,2,48,9,35
2,No,7,58,9,37
7,Yes,4,77,7,69
2,No,8,44,8,28
,Yes,3,9,6,65
,Yes,3,79,4,53
8,No,7,89,8,82
8,No,9,95,9,9
3,No,2,75,4,54
8,Yes,6,87,5,82
3,Yes,5,69,4,48
2,Yes,7,68,4,43
4,No,7,72,5,55
2,No,0,6,9,37
3,No,8,82,5,63
9,No,4,49,6,45
3,No,9,63,6,45
6,Yes,2,88,6,74
7,No,5,52,6,4
4,Yes,5,63,8,46
8,No,8,47,5,39
,No,0,67,5,4
6,Yes,3,76,4,66
,No,9,44,9,6
6,Yes,8,83,8,73
3,Yes,7,42,4,24
2,Yes,4,59,9,33
2,Yes,,80,9,6
4,Yes,2,62,8,4
3,No,3,79,9,60
,No,7,90,7,67
4,Yes,9,66,7,48
7,Yes,7,56,8,48
5,Yes,7,95,5,82
9,No,2,6,9,59
9,Yes,3,86,8,87
2,Yes,5,8,7,6
9,No,3,56,6,53
4,Yes,3,4,7,25
,No,4,64,4,40
5,Yes,7,47,8,34
7,Yes,8,66,9,60
8,No,5,87,5,79
9,No,5,72,9,68
,No,,84,8,6
9,No,3,93,5,87
4,No,,68,4,46
6,Yes,6,75,6,63
7,No,2,90,8,8
6,Yes,2,82,7,7
9,Yes,3,42,9,37
8,No,3,75,8,70
3,No,0,65,5,44
6,Yes,5,60,7,49
8,Yes,9,55,7,53
6,No,,68,8,55
7,Yes,9,70,7,6
3,Yes,3,83,5,56
3,Yes,,87,7,66
,Yes,6,92,4,67
4,No,8,8,7,66
9,Yes,4,72,6,68
2,Yes,,97,6,75
6,Yes,3,75,4,63
4,Yes,5,67,6,49
7,Yes,6,57,9,49
4,Yes,6,47,9,30
8,Yes,0,86,6,79
8,Yes,9,93,6,88
9,Yes,2,58,5,56
7,No,0,93,6,85
,Yes,6,62,8,40
9,Yes,5,74,4,67
9,Yes,9,98,4,96
9,Yes,6,85,9,85
,Yes,0,47,5,9
6,No,7,77,4,66
8,Yes,6,84,9,79
6,Yes,5,93,5,83
8,Yes,,80,8,74
3,No,6,56,7,36
2,No,2,84,5,59
7,No,0,93,9,83
4,Yes,0,56,5,38
,Yes,9,42,8,3
5,Yes,7,98,4,83
5,Yes,4,95,9,84
7,Yes,8,83,9,77
9,No,,94,9,9
5,No,8,40,6,24
2,Yes,3,8,4,58
2,Yes,0,9,8,70
5,Yes,3,54,4,4
3,Yes,7,88,7,69
8,Yes,3,52,6,45
6,Yes,9,80,6,69
2,Yes,4,42,9,9
5,No,,97,8,8
9,Yes,9,6,9,58
6,No,3,77,9,66
8,Yes,4,79,7,76
3,No,,95,7,74
2,Yes,9,82,7,6
6,No,0,89,8,77
9,Yes,,76,8,75
2,Yes,0,63,6,39
4,Yes,8,42,6,25
8,Yes,6,88,5,82
2,No,5,96,7,77
4,No,,40,5,22
5,Yes,3,78,8,63
2,Yes,3,99,6,8
3,Yes,5,56,4,36
8,No,8,63,5,59
5,No,0,68,4,55
8,Yes,8,72,6,67
4,No,9,75,9,56
,No,,7,8,44
3,Yes,7,9,6,73
9,Yes,5,97,8,98
7,No,8,57,9,49
2,No,6,86,8,69
5,Yes,0,89,4,72
3,No,7,89,8,69
,No,9,40,5,0
8,Yes,7,72,8,64
3,No,2,62,6,40
,Yes,8,69,9,45
4,Yes,7,92,4,75
7,Yes,2,72,4,6
8,Yes,0,53,9,48
2,Yes,7,66,6,47
6,No,9,62,5,49
2,Yes,9,54,9,38
2,Yes,4,58,8,34
7,Yes,9,49,6,42
9,Yes,8,43,6,4
5,No,8,43,4,30
5,Yes,7,87,6,74
4,Yes,8,49,8,32
9,Yes,5,4,8,37
8,Yes,,45,7,39
7,Yes,2,40,8,33
5,Yes,2,69,7,58
4,Yes,,72,7,59
7,Yes,3,,8,44
2,No,7,48,7,24
9,Yes,2,55,4,53
2,No,2,53,5,24
3,No,,88,9,67
,No,2,9,6,64
5,Yes,,5,7,36
3,Yes,3,66,7,44
9,No,,62,9,55
7,No,,74,9,63
8,No,3,40,8,34
7,Yes,4,72,9,69
3,Yes,2,53,5,3
4,Yes,,53,9,33
5,Yes,,79,4,62
,Yes,7,52,9,27
5,Yes,5,54,5,39
6,Yes,7,76,6,66
,Yes,8,73,5,
7,No,7,65,9,59
5,No,,66,4,52
8,No,6,48,9,40
6,Yes,4,47,6,32
,No,2,60,4,30
4,Yes,6,69,7,54
3,Yes,5,83,7,6
9,No,5,46,8,4
5,Yes,7,62,4,47
6,Yes,8,90,9,8
5,Yes,0,99,6,82
8,No,4,45,6,40
6,No,0,68,4,53
3,Yes,3,48,5,23
8,Yes,8,65,4,6
4,Yes,4,90,8,77
2,No,4,89,4,64
5,No,6,70,8,57
5,No,2,80,9,64
,Yes,5,46,5,9
3,Yes,5,83,7,62
9,Yes,3,56,8,52
4,Yes,3,78,7,60
9,Yes,,97,9,98
,Yes,2,83,7,54
6,No,2,86,7,75
7,Yes,6,83,5,77
3,Yes,6,55,9,36
8,No,0,85,6,78
6,No,6,88,4,78
6,No,9,97,7,85
6,No,2,52,9,40
5,No,7,54,8,4
6,Yes,8,66,4,54
6,Yes,0,43,4,27
2,Yes,6,76,8,53
8,Yes,4,64,7,58
8,No,7,92,6,87
6,No,9,92,4,79
5,Yes,0,73,6,59
5,Yes,3,83,8,7
6,Yes,8,44,6,34
9,No,8,8,9,78
8,No,,94,6,88
3,No,6,83,9,62
9,No,9,77,9,74
8,No,4,83,7,77
3,Yes,5,54,7,33
3,No,3,66,8,46
8,No,3,52,4,4
2,Yes,,57,7,35
7,Yes,6,86,8,78
7,Yes,5,90,7,79
4,Yes,3,43,6,24
8,Yes,4,86,8,80
8,No,2,72,7,67
8,Yes,6,95,4,88
4,Yes,7,96,7,78
5,Yes,9,89,6,75
8,No,6,84,5,75
2,No,6,49,6,27
7,Yes,7,87,9,85
4,No,8,80,7,69
8,Yes,7,93,5,90
6,Yes,7,83,4,69
6,Yes,8,90,6,83
9,Yes,,49,7,46
5,Yes,9,74,4,59
8,No,5,68,9,60
6,No,4,52,6,35
7,Yes,6,93,4,84
,No,9,5,8,22
6,Yes,9,49,7,38
8,Yes,9,6,5,56
2,No,4,63,9,39
5,Yes,7,66,4,54
3,Yes,2,9,8,73
5,Yes,4,90,4,73
8,No,,4,9,40
2,Yes,,47,7,25
8,Yes,9,67,5,64
3,Yes,6,77,9,60
7,Yes,7,74,6,68
8,Yes,7,85,5,82
3,Yes,2,65,4,43
5,Yes,0,75,4,62
8,No,0,97,6,87
4,Yes,,57,4,39
9,Yes,6,65,7,60
7,Yes,2,69,7,59
4,Yes,0,49,7,3
5,No,,72,6,54
,Yes,5,75,4,
7,No,8,85,8,78
2,No,,78,9,58
4,Yes,8,,9,36
5,No,9,90,8,77
4,No,,76,4,57
6,Yes,2,58,4,45
,No,4,45,7,9
2,No,,8,6,59
2,No,2,42,9,20
4,No,6,58,7,43
8,No,9,77,6,69
4,No,,76,9,59
3,No,3,63,6,42
9,Yes,3,56,7,52
2,No,3,79,6,56
6,Yes,9,55,4,40
9,Yes,,60,8,58
3,No,2,78,6,54
,No,4,95,8,68
3,No,3,88,5,68
5,No,8,92,5,79
8,No,,84,8,8
4,Yes,2,4,8,22
4,No,3,87,4,67
9,Yes,3,69,6,65
2,No,,44,4,20
6,Yes,8,47,6,35
5,Yes,3,53,6,37
4,Yes,5,7,9,55
,Yes,3,64,6,39
6,Yes,,96,9,88
6,No,0,74,7,60
9,No,,88,7,89
7,Yes,,53,5,4
,Yes,7,97,8,73
5,Yes,8,84,9,75
2,Yes,7,58,7,34
9,No,6,47,5,4
8,Yes,6,85,7,79
8,Yes,4,87,8,8
2,No,0,5,4,30
7,No,9,,6,4
3,No,6,84,4,62
,Yes,2,48,5,9
,No,8,85,7,60
3,No,2,63,5,38
3,No,4,46,6,25
3,No,7,80,8,60
2,Yes,5,54,9,33
8,No,4,88,4,78
,Yes,5,45,4,7
6,Yes,,49,5,35
7,Yes,,96,9,93
,No,,79,6,
9,Yes,0,48,6,4
2,Yes,7,83,9,64
3,Yes,,6,8,39
,No,4,5,4,2
4,No,6,43,8,25
5,No,8,95,7,83
9,Yes,2,64,8,63
4,No,4,77,5,60
6,No,5,93,5,84
7,No,0,8,8,73
8,Yes,,48,7,38
5,No,4,5,9,34
3,No,3,82,8,64
6,Yes,5,46,4,3
8,Yes,5,74,6,7
8,No,8,44,7,38
,Yes,4,82,4,58
2,No,8,57,5,30
5,No,4,9,4,74
2,Yes,8,60,6,40
,No,6,98,6,69
6,Yes,,53,7,39
8,No,2,,9,43
8,Yes,3,98,8,93
,Yes,3,49,7,24
2,No,0,64,9,43
4,No,,43,6,24
2,No,2,40,9,5
,No,5,64,8,39
,No,0,86,9,59
3,No,2,86,9,66
3,No,2,53,7,34
7,Yes,9,83,9,78
2,Yes,4,54,5,3
3,Yes,5,97,6,76
3,Yes,,43,6,9
5,No,5,84,6,72
,Yes,6,83,6,60
,Yes,5,99,7,73
7,No,3,93,9,84
5,No,4,7,4,56
3,No,3,53,9,34
2,No,5,53,6,30
4,No,9,75,5,6
3,Yes,7,45,7,26
9,Yes,8,57,4,52
8,Yes,6,76,4,7
2,Yes,5,9,8,68
7,Yes,4,88,9,79
3,Yes,6,65,6,45
8,No,0,52,6,43
,Yes,9,57,4,32
,Yes,9,94,6,69
4,Yes,9,49,8,33
3,Yes,,4,4,7
5,Yes,,57,9,42
6,No,6,70,6,58
4,Yes,9,96,7,79
2,Yes,,74,5,46
2,No,7,89,7,67
6,No,4,82,5,73
4,Yes,3,64,9,47
8,Yes,8,72,4,67
7,No,7,65,5,55
6,Yes,,48,4,35
,Yes,3,76,7,53
,No,4,83,7,60
3,No,6,6,6,44
7,No,5,78,8,67
,Yes,8,87,8,6
5,No,5,96,7,85
8,No,3,99,9,97
7,No,5,58,9,49
,No,7,82,9,6
3,No,5,98,6,78
6,Yes,5,42,9,32
2,No,7,60,7,40
5,Yes,4,48,6,33
3,Yes,5,86,9,69
6,Yes,4,43,6,29
4,Yes,,99,6,82
6,Yes,3,90,9,79
8,No,,57,6,
6,Yes,7,92,8,8
6,Yes,4,64,8,52
5,Yes,6,60,6,45
,No,6,90,5,65
3,No,3,80,7,59
3,Yes,8,55,5,35
5,Yes,6,54,6,38
8,No,4,76,8,77
7,No,4,73,5,63
2,Yes,,72,4,49
6,No,8,60,9,49
2,Yes,2,65,6,40
2,Yes,8,44,9,26
,Yes,,94,5,64
3,Yes,8,99,6,80
5,No,,57,9,45
4,Yes,2,93,5,76
3,Yes,3,86,5,64
9,Yes,,80,6,77
3,No,6,74,6,54
8,No,5,70,8,6
5,Yes,0,49,5,3
7,No,7,4,4,3
2,Yes,6,87,7,64
8,Yes,9,54,5,49
7,Yes,5,64,8,58
7,No,6,80,9,74
5,Yes,6,47,8,33
7,No,8,76,8,7
8,No,9,67,7,65
3,Yes,8,53,9,40
3,No,8,82,4,60
3,No,,95,9,75
5,No,3,99,6,87
9,Yes,,85,8,8
5,Yes,0,58,5,40
4,No,0,87,8,69
7,No,4,46,7,36
9,No,3,84,9,83
7,No,3,55,7,49
4,No,2,98,7,78
9,No,6,75,8,7
3,Yes,,60,5,40
7,Yes,5,53,5,45
5,No,9,47,4,3
8,No,,94,9,90
6,No,5,97,7,90
4,Yes,6,45,7,27
,No,9,67,6,45
7,Yes,5,73,9,66
4,Yes,2,97,6,76
,Yes,6,59,5,32
5,No,6,56,9,42
6,Yes,6,88,7,75
6,No,4,69,9,58
9,No,9,45,4,42
,No,3,96,8,70
,No,3,78,8,54
9,Yes,3,52,8,5
7,Yes,2,93,4,85
,Yes,4,75,4,46
7,Yes,8,4,9,33
4,Yes,7,,6,34
,No,3,69,4,37
6,No,6,88,4,75
4,No,4,73,7,53
5,Yes,0,77,8,62
8,No,8,82,8,79
6,Yes,0,77,7,64
6,No,3,54,7,43
2,No,2,90,6,66
9,Yes,9,83,8,85
,Yes,0,9,5,63
,Yes,,69,5,42
9,Yes,4,45,8,43
8,No,3,48,6,4
7,Yes,2,83,6,74
8,No,8,89,7,87
5,No,2,97,7,79
8,No,9,6,8,56
,Yes,,69,7,48
6,No,5,,5,38
5,Yes,4,93,8,80
,No,6,8,6,55
7,Yes,4,89,7,82
3,No,2,89,5,68
,No,8,46,8,24
3,Yes,7,6,8,4
5,No,,93,7,76
6,No,6,54,8,45
9,Yes,8,86,9,84
5,Yes,0,74,5,57
2,Yes,8,94,9,75
,No,4,55,5,30
2,No,0,44,5,5
6,Yes,,73,7,63
8,Yes,5,63,9,6
8,No,6,9,4,87
2,Yes,5,46,4,23
4,Yes,,80,9,62
5,Yes,6,56,7,46
8,Yes,8,73,8,67
4,Yes,6,97,7,8
3,No,6,73,7,56
7,No,2,43,4,33
7,No,5,45,7,36
3,No,6,80,6,62
5,No,5,60,4,45
2,No,7,96,8,73
5,Yes,7,46,7,33
8,No,4,48,6,4
,Yes,4,80,5,56
6,No,2,75,4,6
6,No,5,89,5,79
8,Yes,9,99,8,99
7,No,2,88,8,80
3,Yes,0,5,4,29
3,Yes,3,98,4,8
9,No,7,63,9,62
4,Yes,5,59,9,42
3,Yes,8,64,9,43
,Yes,8,80,6,55
5,Yes,,67,6,54
6,No,2,70,4,56
5,Yes,0,42,6,26
4,Yes,7,4,8,23
8,No,6,99,9,96
6,Yes,7,54,8,46
5,Yes,5,93,6,80
3,No,7,92,9,74
,No,3,55,9,30
8,Yes,3,68,5,6
3,No,0,57,9,38
6,No,4,77,6,70
,No,9,70,4,46
5,Yes,9,82,9,7
,No,3,84,8,57
3,No,6,85,7,65
8,Yes,2,52,7,47
5,No,5,68,6,55
4,No,4,40,9,2
2,Yes,7,95,5,78
3,No,8,8,5,57
7,Yes,8,85,8,78
9,Yes,8,63,7,62
9,Yes,7,44,9,46
3,No,5,4,6,5
5,Yes,,82,4,66
4,Yes,9,6,5,47
,Yes,4,8,5,55
5,Yes,2,89,4,75
6,Yes,0,76,4,63
7,Yes,7,49,5,43
8,Yes,3,70,6,66
7,Yes,3,65,7,58
2,Yes,9,73,7,49
7,Yes,7,87,4,78
3,Yes,,48,5,27
3,Yes,9,78,6,59
8,No,7,94,7,90
,Yes,6,99,4,75
9,No,9,4,7,4
4,Yes,7,40,4,24
4,No,5,67,8,5
2,Yes,2,54,5,32
,No,,58,5,28
9,No,3,82,5,78
7,No,8,74,9,70
3,No,8,78,8,57
3,Yes,2,72,9,
6,No,,65,8,49
,Yes,7,4,6,6
4,Yes,9,6,9,47
5,Yes,9,80,9,66
6,No,9,89,6,79
9,Yes,,8,5,76
,No,2,48,4,9
6,Yes,7,7,4,6
2,No,5,46,9,23
,No,8,46,9,7
,No,3,63,9,39
6,No,4,56,8,47
5,Yes,6,95,5,8
5,Yes,0,79,8,62
6,No,,70,8,6
2,Yes,6,77,9,56
9,Yes,7,40,4,35
3,No,,83,8,66
,No,3,40,4,5
5,Yes,0,7,5,54
6,No,0,84,9,75
3,Yes,5,87,7,72
8,Yes,,75,4,70
9,Yes,0,84,6,80
8,No,0,49,4,40
4,No,,44,9,25
3,Yes,0,97,6,78
8,No,,58,5,49
2,Yes,3,48,6,29
,Yes,5,6,9,36
7,No,,99,4,87
2,No,0,92,9,69
,No,7,62,7,4
6,Yes,8,89,7,77
7,Yes,8,80,4,7
2,Yes,5,78,4,57
9,No,9,54,8,5
3,Yes,,43,6,22
5,No,9,9,8,80
7,Yes,3,47,6,38
4,No,7,43,6,24
3,No,0,85,8,65
,Yes,8,58,8,34
3,Yes,2,94,4,73
5,Yes,,78,8,60
2,No,5,47,9,29
2,Yes,8,52,7,29
6,No,8,53,6,44
,No,,56,4,29
4,Yes,2,7,8,55
9,No,9,90,8,92
2,No,6,85,6,62
9,No,2,47,5,4
2,Yes,0,84,8,65
9,Yes,3,83,4,79
5,Yes,4,42,6,27
9,Yes,3,48,7,43
7,Yes,5,47,7,34
8,No,2,52,6,46
5,No,6,75,7,6
8,Yes,5,89,5,82
5,No,7,5,7,39
9,Yes,2,4,6,39
,No,7,64,7,38
7,Yes,6,67,8,6
7,Yes,4,62,7,59
7,No,0,67,7,57
6,No,0,64,8,52
7,No,,48,9,40
,No,5,97,5,68
4,No,7,43,6,24
2,Yes,9,53,8,33
3,No,2,72,8,54
7,Yes,3,72,4,63
5,Yes,4,55,7,4
7,No,3,42,6,28
4,Yes,4,46,5,27
3,Yes,6,72,6,57
2,Yes,9,62,7,42
,No,8,52,8,25
6,No,9,56,4,46
8,No,9,7,8,69
6,No,5,57,7,48
,No,8,94,6,7
3,No,,62,8,4
3,No,8,99,8,80
9,Yes,9,52,9,55
3,Yes,8,86,9,70
9,Yes,5,73,6,69
8,Yes,2,98,8,92
4,No,3,9,6,74
3,Yes,,86,5,63
7,Yes,8,69,5,60
,No,4,56,7,28
7,No,7,70,4,62
7,Yes,3,53,6,47
5,Yes,7,68,8,54
8,No,0,93,6,88
3,Yes,8,88,7,72
5,Yes,7,64,6,49
6,No,2,99,4,86
